RPM,400,380,360,340,320,300,280,260,240,220,200,180,160,140,120,100,80,60,40,20,0,-20,-40,-60,-80,-100,-120,-140,-160,-180,-200,-220,-240,-260,-280,-300,-320,-340,-360,-380,-400
1,432.0,480.0,501.0,566.0,567.0,615.0,688.0,754.0,858.0,929.0,1113.0,1250.0,1454.0,1830.0,2460.0,3214.0,5996.0,0.0,0.0,0.0,0.0,0.0,0.0,13318.0,4537.0,2884.0,2264.0,2113.0,1458.0,1299.0,1036.0,997.0,850.0,734.0,708.0,609.0,633.0,538.0,526.0,532.0,501.0
2,444.0,459.0,495.0,511.0,578.0,630.0,709.0,783.0,817.0,892.0,1149.0,1302.0,1475.0,1910.0,2608.0,3308.0,5517.0,0.0,0.0,0.0,0.0,0.0,0.0,13187.0,4637.0,2827.0,2140.0,2012.0,1528.0,1229.0,1014.0,996.0,820.0,768.0,707.0,678.0,599.0,529.0,511.0,505.0,556.0
3,459.0,470.0,510.0,532.0,600.0,654.0,707.0,825.0,832.0,917.0,1209.0,1237.0,1478.0,1807.0,2391.0,3431.0,5560.0,0.0,0.0,0.0,0.0,0.0,0.0,15240.0,4505.0,2916.0,2062.0,2211.0,1451.0,1185.0,1069.0,979.0,805.0,772.0,694.0,640.0,578.0,553.0,516.0,488.0,525.0
4,483.0,488.0,507.0,508.0,631.0,687.0,678.0,747.0,839.0,950.0,1093.0,1261.0,1457.0,1839.0,2500.0,3656.0,5903.0,0.0,0.0,0.0,0.0,0.0,0.0,11634.0,4480.0,2942.0,2044.0,2093.0,1602.0,1166.0,1015.0,1035.0,841.0,750.0,733.0,618.0,568.0,553.0,513.0,478.0,508.0
5,437.0,513.0,486.0,518.0,570.0,621.0,697.0,780.0,829.0,1002.0,1139.0,1270.0,1491.0,1850.0,2399.0,3341.0,5538.0,0.0,0.0,0.0,0.0,0.0,0.0,13167.0,4408.0,2849.0,2143.0,2025.0,1511.0,1217.0,1128.0,983.0,845.0,755.0,695.0,606.0,592.0,539.0,503.0,498.0,498.0
6,455.0,464.0,497.0,523.0,591.0,644.0,721.0,741.0,852.0,907.0,1086.0,1255.0,1483.0,1830.0,2468.0,3482.0,5428.0,0.0,0.0,0.0,0.0,0.0,0.0,13771.0,4339.0,2846.0,2190.0,1999.0,1452.0,1228.0,1065.0,1090.0,822.0,754.0,775.0,634.0,595.0,544.0,531.0,500.0,517.0
7,433.0,483.0,516.0,515.0,564.0,615.0,759.0,756.0,846.0,944.0,1109.0,1287.0,1425.0,1871.0,2518.0,3291.0,5195.0,0.0,0.0,0.0,0.0,0.0,0.0,14517.0,4624.0,2795.0,2160.0,2080.0,1428.0,1196.0,1027.0,1030.0,827.0,738.0,733.0,635.0,578.0,542.0,505.0,487.0,520.0
8,442.0,461.0,543.0,531.0,576.0,626.0,687.0,760.0,810.0,898.0,1118.0,1278.0,1467.0,1854.0,2500.0,3372.0,5231.0,0.0,0.0,0.0,0.0,0.0,0.0,12216.0,4450.0,2762.0,2190.0,2113.0,1487.0,1208.0,1009.0,993.0,827.0,780.0,708.0,617.0,583.0,531.0,561.0,491.0,507.0
9,445.0,469.0,491.0,529.0,580.0,632.0,714.0,751.0,830.0,916.0,1105.0,1226.0,1530.0,1772.0,2555.0,3487.0,5452.0,0.0,0.0,0.0,0.0,0.0,0.0,13428.0,4822.0,2940.0,2175.0,2074.0,1497.0,1204.0,1054.0,976.0,811.0,739.0,696.0,622.0,582.0,561.0,530.0,489.0,511.0
10,439.0,473.0,511.0,506.0,571.0,625.0,679.0,772.0,860.0,924.0,1135.0,1257.0,1629.0,1814.0,2536.0,3437.0,5595.0,0.0,0.0,0.0,0.0,0.0,0.0,12308.0,4584.0,2830.0,2150.0,2106.0,1457.0,1184.0,1057.0,1021.0,853.0,822.0,728.0,620.0,569.0,532.0,513.0,479.0,506.0
11,452.0,466.0,489.0,520.0,589.0,643.0,693.0,767.0,904.0,914.0,1130.0,1303.0,1492.0,1870.0,2422.0,3472.0,5788.0,0.0,0.0,0.0,0.0,0.0,0.0,18820.0,4431.0,3114.0,2266.0,2085.0,1469.0,1247.0,1027.0,1025.0,810.0,777.0,729.0,607.0,601.0,592.0,504.0,505.0,496.0
12,451.0,481.0,498.0,540.0,586.0,642.0,697.0,734.0,820.0,938.0,1083.0,1380.0,1573.0,1970.0,2478.0,3385.0,5349.0,0.0,0.0,0.0,0.0,0.0,0.0,14221.0,4356.0,2945.0,2161.0,2050.0,1460.0,1186.0,1035.0,1000.0,900.0,749.0,711.0,640.0,569.0,561.0,526.0,479.0,525.0
13,432.0,478.0,501.0,568.0,562.0,614.0,687.0,752.0,853.0,933.0,1112.0,1254.0,1514.0,1781.0,2541.0,3288.0,5536.0,0.0,0.0,0.0,0.0,0.0,0.0,16998.0,4480.0,2847.0,2367.0,2162.0,1436.0,1316.0,1033.0,1010.0,850.0,734.0,717.0,609.0,634.0,541.0,526.0,532.0,497.0
14,443.0,458.0,494.0,514.0,576.0,631.0,707.0,777.0,813.0,893.0,1149.0,1308.0,1559.0,1853.0,2679.0,3403.0,5091.0,0.0,0.0,0.0,0.0,0.0,0.0,13998.0,4630.0,2806.0,2229.0,2075.0,1514.0,1246.0,1013.0,1008.0,820.0,766.0,714.0,676.0,599.0,531.0,513.0,505.0,551.0
15,459.0,470.0,510.0,534.0,597.0,653.0,702.0,819.0,829.0,917.0,1210.0,1248.0,1586.0,1757.0,2424.0,3538.0,5045.0,0.0,0.0,0.0,0.0,0.0,0.0,13563.0,4536.0,2895.0,2145.0,2290.0,1439.0,1202.0,1068.0,987.0,804.0,769.0,699.0,639.0,579.0,554.0,518.0,487.0,521.0
16,484.0,487.0,507.0,511.0,629.0,688.0,671.0,741.0,837.0,948.0,1093.0,1275.0,1583.0,1794.0,2519.0,3754.0,5120.0,0.0,0.0,0.0,0.0,0.0,0.0,11083.0,4467.0,2927.0,2129.0,2153.0,1590.0,1181.0,1014.0,1037.0,839.0,747.0,736.0,616.0,568.0,556.0,515.0,478.0,505.0
17,444.0,482.0,497.0,521.0,570.0,622.0,686.0,770.0,830.0,997.0,1083.0,1288.0,1628.0,1813.0,2371.0,3428.0,5047.0,0.0,0.0,0.0,0.0,0.0,0.0,13856.0,4320.0,2850.0,2222.0,2058.0,1502.0,1234.0,1029.0,984.0,842.0,753.0,697.0,604.0,595.0,541.0,505.0,499.0,514.0
18,444.0,480.0,489.0,509.0,576.0,617.0,710.0,735.0,854.0,901.0,1087.0,1305.0,1559.0,1852.0,2422.0,3394.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,14748.0,4273.0,2831.0,2185.0,2088.0,1493.0,1228.0,1060.0,1033.0,819.0,751.0,776.0,634.0,586.0,563.0,513.0,505.0,494.0
19,442.0,462.0,507.0,534.0,561.0,644.0,702.0,757.0,851.0,938.0,1054.0,1322.0,1652.0,1785.0,2466.0,3496.0,5253.0,0.0,0.0,0.0,0.0,0.0,0.0,16279.0,4661.0,2952.0,2161.0,2001.0,1470.0,1270.0,1038.0,1023.0,827.0,777.0,694.0,607.0,635.0,533.0,517.0,498.0,502.0
